"area_fips","industry_code","own_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg","NAICS.4","NAICS.Industry","area_title","state","city","state_name","city_state"
"C1206","336340",5,48,0,2012,3,"N",5,0,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,"Motor Vehicle Brake System Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541330",5,48,0,2012,2,"",1470,17142,17298,17346,373766770,17103299,634194,1666,"",1.33,1.16,1.17,1.16,1.14,0.77,0.98,0.98,"",-55,-3.6,-408,-2.3,-379,-2.1,-372,-2.1,3649833,1,-558824,-3.2,15547,2.5,53,3.3,5413,"Engineering Services","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336214",5,48,0,2012,4,"",6,98,89,94,924033,62859,2572,759,"",0.55,0.2,0.18,0.19,0.16,0.11,0.12,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,"Travel Trailer and Camper Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334220",5,48,0,2015,4,"",27,1882,1866,1863,74434145,3364245,84368,3061,"",1.3,2.16,2.13,2.12,2.95,6.92,6.75,1.38,"",2,8,-71,-3.6,-97,-4.9,-102,-5.2,6078993,8.9,2607419,344.5,66597,374.8,379,14.1,3342,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","511210",5,48,0,2013,1,"",321,11732,11675,11703,314623795,113175222,2910500,2068,"",1.54,2.36,2.35,2.35,1.86,1.51,2.01,0.79,"",11,3.5,861,7.9,708,6.5,754,6.9,13068960,4.3,17430068,18.2,393831,15.6,-54,-2.5,5112," Software Publishers","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336412",5,48,0,2014,4,"",5,320,321,321,6305839,102448,3868,1513,"",0.43,0.24,0.24,0.24,0.2,0.22,0.34,0.84,"",1,25,44,15.9,46,16.7,47,17.2,1429666,29.3,64330,168.8,2414,166,149,10.9,3364,"Aircraft Engine and Engine Parts Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334513",5,48,0,2012,3,"",18,1556,1551,1541,19926958,798123,25226,989,"",0.63,1.52,1.52,1.54,0.97,1.03,1.26,0.64,"",0,0,112,7.8,115,8,88,6.1,582016,3,92503,13.1,5782,29.7,-41,-4,3345,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334514",5,48,0,2013,1,"N",5,0,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345,"Totalizing Fluid Meter and Counting Device Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334417",5,48,0,2015,3,"N",1,0,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3344,"Electronic Connector Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325212",5,48,0,2014,2,"N",2,0,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3252,"Synthetic Rubber Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334419",5,48,0,2015,3,"",6,105,102,105,1129446,96978,1495,835,"",0.24,0.09,0.09,0.09,0.05,0.07,0.06,0.59,"",1,20,1,1,-9,-8.1,2,1.9,-7806,-0.7,-33107,-25.5,-2202,-59.6,10,1.2,3344,"Other Electronic Component Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334210",5,48,0,2015,1,"",8,37,36,31,770874,320259,14129,1711,"",1.13,0.11,0.11,0.09,0.07,0.09,0.13,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,"Telephone Apparatus Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334514",5,48,0,2013,2,"N",5,0,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345,"Totalizing Fluid Meter and Counting Device Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","333314",5,48,0,2012,4,"N",4,0,0,0,0,0,0,0,"N",0.45,0,0,0,0,0,0,0,"N",-1,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,"Optical Instrument and Lens Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","211111",5,48,0,2014,4,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",-1,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,"Crude Petroleum and Natural Gas Extraction","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334419",5,48,0,2016,2,"",8,115,116,117,1320921,344176,3759,876,"",0.31,0.11,0.11,0.11,0.07,0.14,0.09,0.65,"",2,33.3,12,11.7,9,8.4,11,10.4,170676,14.8,68163,24.7,-617,-14.1,36,4.3,3344,"Other Electronic Component Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325413",5,48,0,2016,2,"N",6,0,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,0,"N",-1,-14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254,"In-Vitro Diagnostic Substance Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334516",5,48,0,2013,1,"",5,17,19,19,232961,141059,5553,977,"",0.4,0.03,0.03,0.03,0.02,0.02,0.03,0.47,"",0,0,-1,-5.6,3,18.8,2,11.8,13134,6,18705,15.3,-481,-8,-18,-1.8,3345,"Analytical Laboratory Instrument Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336211",5,48,0,2014,4,"",12,525,489,492,5325912,533877,28847,816,"",0.88,0.56,0.52,0.52,0.4,0.67,1.15,0.75,"",1,9.1,59,12.7,11,2.3,-7,-1.4,589747,12.5,-9116,-1.7,-313,-1.1,59,7.8,3362,"Motor Vehicle Body Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334413",5,48,0,2016,4,"",13,256,264,268,6060698,248305,3638,1775,"",0.44,0.08,0.08,0.08,0.05,0.14,0.1,0.61,"",2,18.2,-2,-0.8,8,3.1,6,2.3,-616682,-9.2,97814,65,25,0.7,-211,-10.6,3344,"Semiconductor and Related Device Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","511210",5,48,0,2015,2,"",503,12271,12336,12381,406497962,14880398,293929,2536,"",1.74,2.18,2.18,2.16,2.07,1.12,1.76,0.95,"",110,28,634,5.4,547,4.6,603,5.1,34656894,9.3,4097020,38,63855,27.8,99,4.1,5112," Software Publishers","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325199",5,48,0,2013,1,"",6,117,93,93,1915016,1149120,31891,1459,"",0.52,0.2,0.16,0.16,0.12,0.17,0.25,0.72,"",0,0,3,2.6,-7,-7,-7,-7,174333,10,145861,14.5,-2640,-7.6,180,14.1,3251,"All Other Basic Organic Chemical Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336111",5,48,0,2016,1,"N",6,0,0,0,0,0,0,0,"N",1.34,0,0,0,0,0,0,0,"N",-3,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3361,"Automobile Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541511",5,48,0,2014,2,"",2140,18954,19129,19283,473296450,29014687,705628,1904,"",1.24,1.46,1.46,1.48,1.35,1.3,1.49,0.92,"",14,0.7,-918,-4.6,-932,-4.6,-948,-4.7,24023441,5.3,-2061537,-6.6,-191183,-21.3,181,10.5,5415,"Custom Computer Programming Services","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","511210",5,48,0,2016,2,"",583,12504,12546,12632,411339205,16303314,291799,2519,"",1.69,2.04,2.05,2.03,1.86,1.13,1.76,0.91,"",80,15.9,233,1.9,210,1.7,251,2,4841243,1.2,1422916,9.6,-2130,-0.7,-17,-0.7,5112," Software Publishers","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334517",5,48,0,2015,2,"",7,26,27,26,281850,36433,408,823,"",1.57,0.12,0.12,0.12,0.05,0.11,0.1,0.4,"",1,16.7,2,8.3,3,12.5,2,8.3,34821,14.1,3234,9.7,-24,-5.6,31,3.9,3345,"Irradiation Apparatus Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334519",5,48,0,2016,4,"",15,242,238,241,4398074,149339,3426,1408,"",0.75,0.38,0.37,0.37,0.3,0.33,0.43,0.8,"",2,15.4,51,26.7,48,25.3,54,28.9,1129858,34.6,-210769,-58.5,1162,51.3,80,6,3345,"Other Measuring and Controlling Device Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325110",5,48,0,2012,4,"N",2,0,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3251,"Petrochemical Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334413",5,48,0,2013,3,"",8,234,241,247,4272403,210752,3192,1366,"",0.3,0.07,0.08,0.08,0.04,0.08,0.05,0.56,"N",5,166.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3344,"Semiconductor and Related Device Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336412",5,48,0,2012,2,"",3,316,312,310,4345901,280745,17077,1069,"",0.27,0.24,0.23,0.23,0.16,0.25,0.49,0.67,"",0,0,41,14.9,37,13.5,25,8.8,296135,7.3,39630,16.4,1721,11.2,-50,-4.5,3364,"Aircraft Engine and Engine Parts Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","333314",5,48,0,2014,4,"N",5,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,"Optical Instrument and Lens Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325199",5,48,0,2015,1,"",10,161,192,160,2398960,1392174,24165,1079,"",0.8,0.25,0.3,0.25,0.14,0.19,0.23,0.52,"",2,25,8,5.2,37,23.9,5,3.2,286159,13.5,66354,5,-3482,-12.6,26,2.5,3251,"All Other Basic Organic Chemical Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541511",5,48,0,2015,1,"",2271,21494,21618,21569,568169929,203508749,4357064,2027,"",1.28,1.55,1.55,1.55,1.33,1.31,1.36,0.86,"",130,6.1,2470,13,2506,13.1,2450,12.8,82132939,16.9,21439920,11.8,-109752,-2.5,68,3.5,5415,"Custom Computer Programming Services","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541330",5,48,0,2016,4,"",1611,19878,20046,20283,485910214,20070299,470812,1862,"",1.28,1.2,1.21,1.22,1.09,1.43,1.36,0.9,"",25,1.6,246,1.3,416,2.1,481,2.4,-2290834,-0.5,-399813,-2,-84311,-15.2,-45,-2.4,5413,"Engineering Services","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325414",5,48,0,2015,1,"N",2,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3254,"Biological Product (except Diagnostic) Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334290",5,48,0,2014,3,"N",9,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,"Other Communications Equipment Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325199",5,48,0,2014,1,"",8,153,155,155,2112801,1325820,27647,1053,"",0.67,0.25,0.25,0.25,0.13,0.2,0.25,0.51,"",2,33.3,36,30.8,62,66.7,62,66.7,197785,10.3,176700,15.4,-4244,-13.3,-406,-27.8,3251,"All Other Basic Organic Chemical Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541330",5,48,0,2013,4,"",1492,17724,17837,17835,415430150,15616054,523447,1795,"",1.28,1.15,1.15,1.15,1.05,1.22,1.22,0.91,"",29,2,617,3.6,634,3.7,686,4,9599921,2.4,1372674,9.6,40052,8.3,-25,-1.4,5413,"Engineering Services","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541310",5,48,0,2016,1,"",478,4306,4310,4327,82098621,40633277,1192025,1464,"",1.22,1.38,1.38,1.39,1.31,1.25,1.94,0.95,"",22,4.8,391,10,397,10.1,406,10.4,7906842,10.7,3872130,10.5,-172080,-12.6,7,0.5,5413,"Architectural  Services","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325110",5,48,0,2016,3,"N",2,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3251,"Petrochemical Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334290",5,48,0,2015,3,"",11,79,82,85,1090134,94186,2833,1023,"",1,0.24,0.25,0.26,0.17,0.37,0.48,0.69,"N",2,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,"Other Communications Equipment Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336212",5,48,0,2012,4,"",4,9,7,9,80299,717,0,741,"",0.49,0.02,0.01,0.02,0.01,0,0,0.88,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,"Truck Trailer Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334511",5,48,0,2016,1,"N",13,0,0,0,0,0,0,0,"N",0.78,0,0,0,0,0,0,0,"N",3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345,"Search, Detection, Navigation, Guidance, Aeronautical, and  Nautical System and Instrument Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334517",5,48,0,2012,4,"",8,26,26,27,264858,9083,312,774,"",1.74,0.12,0.12,0.13,0.05,0.09,0.14,0.38,"",0,0,-4,-13.3,-6,-18.8,-6,-18.2,-28084,-9.6,-22112,-70.9,-795,-71.8,62,8.7,3345,"Irradiation Apparatus Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334513",5,48,0,2014,4,"",25,1653,1642,1662,24500137,991667,17936,1141,"",0.82,1.53,1.51,1.52,1.02,1.36,1.15,0.67,"",3,13.6,47,2.9,44,2.8,56,3.5,2942344,13.6,152509,18.2,-1478,-7.6,107,10.3,3345,"Variables  Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325199",5,48,0,2016,1,"",10,170,173,172,2271449,1438519,27281,1018,"",0.78,0.26,0.26,0.26,0.13,0.19,0.29,0.49,"",0,0,9,5.6,-19,-9.9,12,7.5,-127511,-5.3,46345,3.3,3116,12.9,-61,-5.7,3251,"All Other Basic Organic Chemical Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334513",5,48,0,2013,3,"",22,1620,1592,1596,21666985,813587,21075,1040,"",0.75,1.56,1.53,1.56,1.01,0.85,0.96,0.65,"",4,22.2,64,4.1,41,2.6,55,3.6,1740027,8.7,15464,1.9,-4151,-16.5,51,5.2,3345,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541380",5,48,0,2012,4,"",125,1567,1554,1542,29964968,833395,22276,1483,"",0.84,0.58,0.57,0.57,0.59,0.43,0.36,1.03,"",-1,-0.8,-83,-5,-86,-5.2,-80,-4.9,1563702,5.5,-435368,-34.3,-10306,-31.6,149,11.2,5413,"Testing Laboratories","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336211",5,48,0,2016,4,"",13,583,503,553,5850642,342013,10015,824,"",0.92,0.58,0.5,0.54,0.41,0.44,0.51,0.76,"",-1,-7.1,-11,-1.9,-80,-13.7,-37,-6.3,-826000,-12.4,-470248,-57.9,-25416,-71.7,-48,-5.5,3362,"Motor Vehicle Body Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334310",5,48,0,2015,4,"N",8,0,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,0,"N",-2,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,"Audio and Video Equipment Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336120",5,48,0,2016,4,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",-1,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3361,"Heavy Duty Truck Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","541380",5,48,0,2013,3,"",128,1410,1406,1400,21877684,994672,28831,1198,"",0.85,0.52,0.51,0.51,0.46,0.37,0.39,0.89,"",1,0.8,-166,-10.5,-164,-10.4,-154,-9.9,-1591344,-6.8,130680,15.1,5586,24,46,4,5413,"Testing Laboratories","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334210",5,48,0,2012,1,"",7,38,38,38,649882,287188,12910,1316,"",0.9,0.09,0.09,0.09,0.04,0.07,0.08,0.49,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342,"Telephone Apparatus Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334517",5,48,0,2014,3,"",6,19,25,24,278697,16021,154,946,"",1.35,0.09,0.11,0.11,0.05,0.11,0.06,0.51,"",-1,-14.3,-7,-26.9,-3,-10.7,-5,-17.2,-8062,-2.8,-1329,-7.7,-96,-38.4,149,18.7,3345,"Irradiation Apparatus Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","336214",5,48,0,2016,4,"N",7,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,"Travel Trailer and Camper Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","325110",5,48,0,2014,3,"N",2,0,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3251,"Petrochemical Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","334310",5,48,0,2012,1,"N",10,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,"Audio and Video Equipment Manufacturing","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
"C1206","511210",5,48,0,2013,1,"",321,11732,11675,11703,314623795,113175222,2910500,2068,"",1.54,2.36,2.35,2.35,1.86,1.51,2.01,0.79,"",11,3.5,861,7.9,708,6.5,754,6.9,13068960,4.3,17430068,18.2,393831,15.6,-54,-2.5,5112,"Software Publishers","Atlanta-Sandy Springs-Roswell, GA MSA","GA","Atlanta","Georgia","Atlanta GA"
